,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
1,769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.645091057
2,808,50,119,41,18,11,16,37,1,0,0,1,1,NA,14,14,6.694561958
3,825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.71538353
4,650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.47697258
5,562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.331501961
7,600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.396929741
9,1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.050989628
10,1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.907755375
11,930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.835184574
13,900,45,125,40,15,4,3,30,0,0,0,0,2,NA,12,12,6.802394867
14,1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.183870792
15,1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.491087437
16,958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.86484766
17,1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.215240002
18,850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.745236397
22,1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.387090206
23,873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.771935463
24,2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.667158127
25,1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.959398746
26,1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.379008293
27,1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.080026627
28,800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.684611797
29,1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.256297112
30,635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.453625202
32,1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.261225224
33,2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.889084339
34,666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.501289845
35,1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.48380661
37,1572,35,108,39,14,7,5,28,1,1,0,1,1,NA,12,8,7.360104084
38,1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.149916649
39,714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.570882797
40,1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.985641956
41,692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.539586067
42,1318,38,122,47,17,10,9,33,1,0,0,1,1,NA,12,8,7.183870792
44,1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.934397221
45,1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.466227531
47,770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.646390438
48,1154,50,94,37,16,11,5,33,1,0,0,1,1,NA,12,12,7.050989628
50,808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.694561958
51,1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.003065586
52,1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.050989628
53,1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.466799259
54,1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.907755375
56,769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.645091057
57,875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.774223804
58,1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.226209164
